year,canton,mppa_a,mppa_b,mppa_c,mppa_d,mppa_e,hm_a,hm_b,hm_c,hm_d,hm_e,tot_a,tot_b,tot_c,tot_d,tot_e
2017,SG,,10.851131222,6.9057692308,17.756900452,.180952381,,3338.913587,1771.4062657,5110.3198527,37.33952381,,3349.7647182,1778.312035,5128.0767532,37.52047619
2017,GR,,,,,,1.0411363998,1606.5869768,781.81272767,2389.4408409,8.4738095238,1.0411363998,1606.5869768,781.81272767,2389.4408409,8.4738095238
2017,AG,,,,,,6.2656657296,4110.0527469,2008.4891095,6124.8075221,56.400952381,6.2656657296,4110.0527469,2008.4891095,6124.8075221,56.400952381
2017,TG,,,,,,,1789.4792921,892.0162747000001,2681.4955668,14.23,,1789.4792921,892.0162747000001,2681.4955668,14.23
2017,TI,,,,,,28.069159169,3284.8865145,1363.8408529,4676.7965266,21.003809524,28.069159169,3284.8865145,1363.8408529,4676.7965266,21.003809524
2017,VD,.0230840259,48.4757187,51.785713199,100.28451592,.3314285714,17.023477217,5194.6746335,2468.1827914,7679.8809021,6.2971428571,17.046561243,5243.1503522,2519.9685046,7780.165418,6.6285714286
2017,VS,,,,,,.2997131931,2217.7960782,922.97153742,3141.0673288,11.827619048,.2997131931,2217.7960782,922.97153742,3141.0673288,11.827619048
2017,NE,,,,,,3.4548076923,1626.4238713,738.96904313,2368.8477221,2.1376190476,3.4548076923,1626.4238713,738.96904313,2368.8477221,2.1376190476
2017,GE,,1.8995192308,9.12067307689999,11.020192308,,6.7339900811,2761.0203653,1277.7906538,4045.5450092,27.358095238,6.7339900811,2762.9198846,1286.9113269,4056.5652015,27.358095238
2017,JU,,,,,,,530.45373319,180.61672571,711.070458899999,8.0857142857,,530.45373319,180.61672571,711.070458899999,8.0857142857
2017,CH,.0230840259,101.83960269,99.763026095,201.62571281,.8061904762,128.72803819,63027.980578,31098.846656,94255.55527300001,459.98142857,128.75112222,63129.820181,31198.609683,94457.18098600001,460.78761905
2018,ZH,,2.3734827264,1.1242967154,3.4977794418,.2680952381,48.991291308,11593.61522,6155.5508954,17798.157406,80.59999999999989,48.991291308,11595.988702,6156.6751922,17801.655186,80.868095238
2018,BE,,,,,,13.895368862,9150.25387939999,4743.5187655,13907.668014,78.15952381,13.895368862,9150.25387939999,4743.5187655,13907.668014,78.15952381
2018,LU,,3.7637494022,10.098995696,13.862745098,,1.7161172161,3281.5509652,1712.040716,4995.3077984,23.214761905,1.7161172161,3285.3147146,1722.1397117,5009.1705435,23.214761905
2018,UR,,,,,,,344.2776416,163.89321375,508.17085535,.9761904762,,344.2776416,163.89321375,508.17085535,.9761904762
2018,SZ,,,,,,,1188.1333032,638.99824281,1827.131546,5.6038095238,,1188.1333032,638.99824281,1827.131546,5.6038095238
2018,OW,,,,,,,297.89420516,216.62101974,514.5152249,2.0238095238,,297.89420516,216.62101974,514.5152249,2.0238095238
