year,canton,mppa_a,mppa_b,mppa_c,mppa_d,mppa_e,hm_a,hm_b,hm_c,hm_d,hm_e,tot_a,tot_b,tot_c,tot_d,tot_e
2022,VS,,,,,,,2584.0556686,1078.5680109,3662.6236796,7.8423809524,,2584.0556686,1078.5680109,3662.6236796,7.8423809524
2022,NE,,,,,,2.3855722326,1543.4398902,746.9904090700001,2292.8158715,2.2733333333,2.3855722326,1543.4398902,746.9904090700001,2292.8158715,2.2733333333
2022,GE,,6.3875,8.1908653846,14.578365385,,5.4164957741,2968.1878728,1388.94495,4362.5493186,18.555714286,5.4164957741,2974.5753728,1397.1358154,4377.127684,18.555714286
2022,JU,,,,,,.0668498168,574.7939083700001,192.16270807,767.02346626,7.7023809524,.0668498168,574.7939083700001,192.16270807,767.02346626,7.7023809524
2022,CH,,61.765888249,61.403853187,123.16974144,.4123809524,134.89350084,67263.395557,33435.476845,100833.7659,313.54761905,134.89350084,67325.16144500001,33496.880699,100956.93564,313.96
2023,ZH,,2.0387488329,1.5,3.5387488329,.1104761905,70.747583088,12418.339801,6780.0992339,19269.186618,52.18047619,70.747583088,12420.37855,6781.5992339,19272.725367,52.290952381
2023,BE,,,,,,6.1950458482,8928.1627094,4892.1735833,13826.531339,56.185238095,6.1950458482,8928.1627094,4892.1735833,13826.531339,56.185238095
2023,LU,,3.624099856,10.972155545,14.596255401,.0833333333,1.7124542125,3629.6932123,1915.2448859,5546.6505525,20.343333333,1.7124542125,3633.3173122,1926.2170414,5561.2468079,20.426666667
2023,UR,,,,,,,339.73262455,163.91409409,503.64671865,.7047619048,,339.73262455,163.91409409,503.64671865,.7047619048
2023,SZ,,,,,,,1254.0523921,718.94397744,1972.9963695,2.9985714286,,1254.0523921,718.94397744,1972.9963695,2.9985714286
2023,OW,,,,,,,323.96927092,235.17281604,559.14208695,2.0595238095,,323.96927092,235.17281604,559.14208695,2.0595238095
2023,NW,,,,,,,321.28223708,187.29244121,508.57467829,.6985714286,,321.28223708,187.29244121,508.57467829,.6985714286
2023,GL,,,,,,,287.84569597,224.27380952,512.1195054900001,.35,,287.84569597,224.27380952,512.1195054900001,.35
2023,ZG,,,,,,.0686813187,763.79860944,454.39703604,1218.2643268,4.5576190476,.0686813187,763.79860944,454.39703604,1218.2643268,4.5576190476
2023,FR,,,,,,3.4643258167,2371.0867388,906.1072976200001,3280.6583622,5.61,3.4643258167,2371.0867388,906.1072976200001,3280.6583622,5.61
2023,SO,,,,,,,2078.109919,1121.0056127,3199.1155318,15.358095238,,2078.109919,1121.0056127,3199.1155318,15.358095238
2023,BS,,,,,,,2171.0584799,923.28120897,3094.3396888,1.1514285714,,2171.0584799,923.28120897,3094.3396888,1.1514285714
2023,BL,,,,,,,2248.1396046,1082.3907896,3330.5303943,11.140952381,,2248.1396046,1082.3907896,3330.5303943,11.140952381
2023,SH,,,,,,,857.53883662,458.52602529,1316.0648619,1.9619047619,,857.53883662,458.52602529,1316.0648619,1.9619047619
2023,AR,,,,,,,580.3515753,377.16914749,957.52072278,.6676190476,,580.3515753,377.16914749,957.52072278,.6676190476
2023,AI,,,,,,,122.51477237,53.124732261,175.63950463,.5214285714,,122.51477237,53.124732261,175.63950463,.5214285714
2023,SG,,15.215686275,6.0901960784,21.305882353,,.1913919414,3853.2750883,2193.7251055,6047.1915857,27.29047619,.1913919414,3868.4907746,2199.8153015,6068.4974681,27.29047619
2023,GR,,,,,,1.8738335738,1684.8780445,880.70021924,2567.4520973,7.4204761905,1.8738335738,1684.8780445,880.70021924,2567.4520973,7.4204761905
2023,AG,,,,,,11.366648352,4627.5074596,2327.6551036,6966.5292116,39.36047619,11.366648352,4627.5074596,2327.6551036,6966.5292116,39.36047619
2023,TG,,,,,,,2058.9613223,1030.7492035,3089.7105258,14.473809524,,2058.9613223,1030.7492035,3089.7105258,14.473809524
2023,TI,,,,,,17.957362776,4139.0219385,1704.803953,5861.7832542,15.53952381,17.957362776,4139.0219385,1704.803953,5861.7832542,15.53952381
2023,VD,,34.9726117,32.844856513,67.817468213,,11.480802882,5469.7323794,2692.8302703,8174.0434526,11.863333333,11.480802882,5504.7049911,2725.6751268,8241.8609208,11.863333333
2023,VS,,,,,,,2740.7439214,1114.6901849,3855.4341063,9.5914285714,,2740.7439214,1114.6901849,3855.4341063,9.5914285714
2023,NE,,,,,,3.0192307692,1455.3937913,718.48655483,2176.8995769,.7657142857,3.0192307692,1455.3937913,718.48655483,2176.8995769,.7657142857
2023,GE,,6.5673076923,7.6793269231,14.246634615,,5.7669756873,3014.6238925,1394.8069385,4415.1978066,20.425238095,5.7669756873,3021.1912002,1402.4862654,4429.4444412,20.425238095
2023,JU,,,,,,.0668498168,593.34289052,214.46272483,807.8724651700001,9.86999999999999,.0668498168,593.34289052,214.46272483,807.8724651700001,9.86999999999999
2023,CH,,62.418454356,59.086535059,121.50498941,.1938095238,133.91118608,68333.157207,34766.02695,103233.09534,333.09,133.91118608,68395.575662,34825.113485,103354.60033,333.28380952
2024,ZH,,1.7973856209,1.5168067227,3.3141923436,.1076190476,76.569820194,12933.332751,7095.5403398,20105.442911,56.09047619,76.569820194,12935.130137,7097.0571465,20108.757103,56.198095238
2024,BE,,,,,,7.6961790587,9176.490967600001,5028.3110239,14212.49817,56.811904762,7.6961790587,9176.490967600001,5028.3110239,14212.49817,56.811904762
2024,LU,,4.9652380952,11.033809524,15.999047619,.1271428571,1.7124542125,3684.5294253,1955.710156,5641.9520355,23.957142857,1.7124542125,3689.4946634,1966.7439655,5657.9510831,24.084285714
2024,UR,,,,,,,338.86459061,165.35498846,504.21957907,.7219047619,,338.86459061,165.35498846,504.21957907,.7219047619
2024,SZ,,,,,,,1262.0533276,734.26722074,1996.3205483,2.9514285714,,1262.0533276,734.26722074,1996.3205483,2.9514285714
2024,OW,,,,,,,345.35630596,243.9561931,589.3124990600001,2.189047619,,345.35630596,243.9561931,589.3124990600001,2.189047619
2024,NW,,,,,,,340.16086724,200.93098111,541.09184835,.6914285714,,340.16086724,200.93098111,541.09184835,.6914285714
2024,GL,,,,,,,297.04690622,223.70942599,520.75633221,.6914285714,,297.04690622,223.70942599,520.75633221,.6914285714
2024,ZG,,,,,,,795.5527736499999,469.16202594,1264.7147996,4.3561904762,,795.5527736499999,469.16202594,1264.7147996,4.3561904762
2024,FR,,,,,,3.6204784622,2443.056474,949.97170151,3396.648654,5.8557142857,3.6204784622,2443.056474,949.97170151,3396.648654,5.8557142857
2024,SO,,,,,,,2124.1738228,1131.6948206,3255.8686434,14.729047619,,2124.1738228,1131.6948206,3255.8686434,14.729047619
2024,BS,,,,,,,2225.1053442,955.29203248,3180.3973767,1.25,,2225.1053442,955.29203248,3180.3973767,1.25
2024,BL,,,,,,,2354.7729147,1114.2188319,3468.9917467,11.476666667,,2354.7729147,1114.2188319,3468.9917467,11.476666667
2024,SH,,,,,,.2782608696,916.74733407,466.80176265,1383.8273576,1.2780952381,.2782608696,916.74733407,466.80176265,1383.8273576,1.2780952381
2024,AR,,,,,,,579.00693237,384.88267562,963.889608,1.8657142857,,579.00693237,384.88267562,963.889608,1.8657142857
2024,AI,,,,,,,124.7149997,51.748720003,176.4637197,.5238095238,,124.7149997,51.748720003,176.4637197,.5238095238
2024,SG,,15.901960784,6.6,22.501960784,,.0164835165,3986.0811613,2261.3615286,6247.4591734,28.00047619,.0164835165,4001.9831221,2267.9615286,6269.9611342,28.00047619
2024,GR,,,,,,1.6876923077,1745.5538208,892.78583134,2640.0273445,7.3876190476,1.6876923077,1745.5538208,892.78583134,2640.0273445,7.3876190476
2024,AG,,,,,,12.460274725,4779.334073,2409.8324961,7201.6268438,38.321428571,12.460274725,4779.334073,2409.8324961,7201.6268438,38.321428571
2024,TG,,,,,,,2124.6671625,1047.4061891,3172.0733516,16.48952381,,2124.6671625,1047.4061891,3172.0733516,16.48952381
2024,TI,,,,,,21.937019231,3977.2661401,1674.944391,5674.1475504,13.636666667,21.937019231,3977.2661401,1674.944391,5674.1475504,13.636666667
2024,VD,,34.562151286,31.904989744,66.46714102999999,,11.179223063,5578.4275435,2727.730442,8317.3372086,11.266190476,11.179223063,5612.9896948,2759.6354317,8383.804349599999,11.266190476
2024,VS,,,,,,.052581262,2829.0454958,1149.4574092,3978.5554862,11.198095238,.052581262,2829.0454958,1149.4574092,3978.5554862,11.198095238
2024,NE,,,,,,3.2667630645,1514.9021435,738.07557962,2256.2444862,.8114285714,3.2667630645,1514.9021435,738.07557962,2256.2444862,.8114285714
2024,GE,,6.76875,8.7461538462,15.514903846,,6.4581236682,3024.5706815,1380.9060602,4411.9348653,14.94,6.4581236682,3031.3394315,1389.652214,4427.4497692,14.94
2024,JU,,,,,,.143992674,648.42305189,229.5034309,878.07047547,13.175714286,.143992674,648.42305189,229.5034309,878.07047547,13.175714286
2024,CH,,63.995485787,59.801759836,123.79724562,.2347619048,147.07934631,70149.237011,35683.556258,105979.87262,340.66714286,147.07934631,70213.232497,35743.358018,106103.66986,340.90190476
